Цена,Количество_комнат,Общая_площадь,Этаж,Ремонт,Отделка,Способ_продажи,Тип_дома,Пассажирский_лифт,Грузовой_лифт,Тип_участия,Широта_Объекта,Долгота_Объекта,комендантский проспект_dist,крестовский остров_dist,шушары_dist,парнас_dist,купчино_dist,улица дыбенко_dist,девяткино_dist,проспект ветеранов_dist,Цена_кв_м,Цена_кв_м_кат,Балкон_или_лоджия_свертка,Вид_сделки_свертка,В_доме_свертка,Двор_свертка,Мебель_свертка,Окна_свертка,Парковка_свертка,Санузел_свертка,Техника_свертка,Тип_комнат_свертка,Возраст_дома,Грузовой_лифт_no_info,Пассажирский_лифт_no_info
15000000,2,42.8,2,no_info,no_info,свободная,монолитный,0,0,no_info,59.982649,30.319255,7.325,6.756,22.041,9.512,18.109,20.057,15.671,17.383,350467.2897196262,4,0,0,0,0,0,1,0,1,0,1,1,1,1
14250000,3,75.0,2,евро,no_info,свободная,монолитно-кирпичный,1,2,no_info,60.081619,30.335164,11.753,14.823,31.032,1.632,28.347,25.413,12.487,28.227,190000.0,1,0,1,1,1,3,1,1,1,1,1,7,0,0
14990000,2,68.6,5,no_info,no_info,свободная,кирпичный,0,0,no_info,60.006822,30.263748,0.598,3.919,27.996,10.266,23.278,26.784,20.5,18.363,218513.1195335277,2,0,0,0,0,0,1,0,1,0,1,21,1,1
7900000,2,45.3,3,евро,no_info,свободная,кирпичный,0,0,no_info,59.852312,30.023916,31.34,29.35,45.572,41.897,39.174,51.419,51.507,25.216,174392.93598233996,1,0,1,1,2,2,1,1,1,2,1,49,1,1
8400000,2,55.2,15,no_info,no_info,свободная,панельный,0,0,no_info,60.023457,30.238882,2.75,6.176,31.231,11.609,26.352,30.069,22.882,20.195,152173.91304347824,1,0,0,0,0,0,1,0,1,0,1,33,1,1
5600000,1,35.0,11,дизайнерский,no_info,свободная,кирпичный,1,1,no_info,60.033243,30.131731,14.37,15.748,40.994,22.771,35.303,41.498,34.647,25.013,160000.0,1,1,1,0,2,0,2,1,1,0,0,0,0,0
8800000,2,49.4,9,no_info,no_info,свободная,монолитный,0,0,no_info,60.033823,30.137939,13.706,15.158,40.471,22.08,34.818,40.871,33.955,24.711,178137.65182186235,1,1,0,0,0,0,1,0,1,0,1,2,1,1
5900000,1,31.4,4,no_info,no_info,свободная,панельный,0,0,no_info,59.87271,30.303139,15.889,12.037,15.547,21.858,9.369,20.391,25.114,6.758,187898.08917197454,1,1,0,0,0,0,1,0,1,0,0,62,1,1
5100000,1,32.9,3,no_info,чистовая,переуступка,панельный,1,1,ДДУ по ФЗ 214,60.02084,30.464036,22.864,23.381,22.592,15.351,23.392,12.785,4.009,30.938,155015.19756838906,1,0,1,0,2,0,0,1,1,0,0,0,0,0
8500000,1,31.1,5,no_info,no_info,no_info,монолитный,0,0,ДДУ по ФЗ 214,59.881349,30.442189,24.818,22.662,6.901,23.887,9.351,5.411,18.763,21.735,273311.8971061093,3,1,0,0,0,0,1,0,1,0,0,-1,1,1
7900000,2,42.2,3,no_info,no_info,свободная,панельный,0,0,no_info,59.86518,30.369147,20.118,17.003,8.669,22.768,4.001,13.527,22.139,13.423,187203.7914691943,1,1,0,0,0,0,2,0,1,0,1,56,1,1
7900000,2,44.0,4,no_info,no_info,свободная,кирпичный,0,0,no_info,59.969479,30.394066,15.663,14.964,17.161,12.737,15.658,12.08,10.491,21.321,179545.45454545456,1,0,0,0,0,0,1,0,1,0,1,60,1,1
7990000,4,59.4,3,no_info,no_info,свободная,блочный,0,0,no_info,59.834189,30.200623,20.426,16.633,25.841,29.807,19.463,32.452,36.082,5.622,134511.78451178453,0,0,0,0,0,0,2,0,1,0,1,54,1,1
4400000,1,34.0,7,косметический,no_info,свободная,монолитный,1,1,no_info,59.803622,30.381221,26.54,23.077,6.004,29.738,2.971,16.179,28.248,15.134,129411.76470588235,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12500000,1,36.9,14,дизайнерский,no_info,свободная,монолитный,1,1,no_info,59.938491,30.196446,10.416,7.92,29.375,20.906,23.298,32.066,30.084,12.285,338753.38753387536,4,1,1,0,3,3,1,0,2,3,0,3,0,0
7300000,2,44.0,5,no_info,no_info,свободная,панельный,0,0,no_info,59.916437,30.496142,28.308,27.016,12.83,24.602,16.489,1.743,15.992,28.511,165909.0909090909,1,0,1,0,0,0,1,0,1,0,1,51,1,1
15000000,0,72.0,2,требует ремонта,no_info,свободная,кирпичный,1,0,no_info,59.940627,30.348827,12.548,10.522,16.331,14.141,12.675,15.394,16.058,15.461,208333.33333333334,2,0,1,0,1,0,1,1,1,0,0,126,0,0
11890000,3,84.1,11,no_info,no_info,свободная,монолитный,0,0,no_info,59.806821,30.369282,25.571,22.028,7.2,29.18,2.649,16.898,28.26,13.761,141379.3103448276,0,1,0,0,0,0,2,0,1,0,1,6,1,1
5800000,2,46.0,5,косметический,no_info,свободная,панельный,0,0,no_info,59.874476,30.477439,28.517,26.532,7.835,26.69,12.349,3.718,19.897,25.465,126086.95652173914,0,0,1,0,2,0,2,0,1,0,1,58,1,1
15000000,3,88.0,14,косметический,no_info,свободная,монолитно-кирпичный,2,1,no_info,59.930097,30.458026,23.811,22.551,12.557,20.54,14.421,3.775,13.448,25.041,170454.54545454544,1,2,0,0,0,0,2,1,1,0,1,9,0,0
6900000,1,41.6,6,no_info,no_info,свободная,монолитный,0,0,no_info,59.831272,30.3299,21.236,17.472,11.495,26.199,5.093,19.033,27.385,8.896,165865.3846153846,1,1,1,0,0,0,2,0,1,0,0,0,1,1
7900000,1,44.4,5,дизайнерский,no_info,свободная,панельный,1,0,no_info,60.0187,30.231741,3.196,6.051,31.41,12.551,26.395,30.57,23.741,19.736,177927.92792792793,1,1,0,1,2,1,1,1,1,2,0,32,1,0
8600000,1,39.7,7,no_info,no_info,свободная,кирпичный,0,0,no_info,60.029413,30.3223,7.441,9.475,26.312,4.368,22.965,22.449,13.615,22.288,216624.68513853903,2,1,0,0,0,0,1,0,1,0,0,18,1,1
3500000,0,23.9,13,no_info,no_info,свободная,панельный,0,0,no_info,59.808794,30.359041,24.848,21.231,8.281,28.83,2.978,17.631,28.403,12.608,146443.51464435147,0,1,0,0,0,0,1,0,1,0,0,0,1,1
5990000,2,41.5,1,no_info,no_info,свободная,панельный,0,0,no_info,59.860093,30.354918,19.666,16.333,9.728,23.111,4.084,15.207,23.284,11.765,144337.34939759035,0,0,1,0,0,0,1,0,1,0,1,58,1,1
6650000,1,35.2,2,евро,no_info,свободная,кирпичный,1,0,no_info,60.001865,30.387374,14.323,14.605,20.832,9.369,19.168,14.961,8.192,23.372,188920.45454545453,1,0,1,2,1,1,1,1,1,0,0,53,1,0
7300000,1,33.9,13,no_info,no_info,свободная,кирпичный,0,0,no_info,59.983752,30.397633,15.688,15.415,18.614,11.654,17.283,12.752,8.942,22.689,215339.2330383481,2,1,0,0,0,0,1,0,1,0,0,13,1,1
5559734,0,26.1,10,no_info,чистовая,no_info,монолитный,0,0,ДДУ по ФЗ 214,59.939969,30.432721,20.792,19.58,13.335,17.889,13.788,6.685,12.302,22.977,213016.6283524904,2,0,0,0,0,0,0,0,0,0,0,-2,1,1
8290000,0,30.0,7,косметический,no_info,свободная,монолитно-кирпичный,1,1,no_info,59.904189,30.314817,13.174,9.714,16.102,18.215,10.684,18.728,21.594,9.927,276333.3333333333,3,1,1,0,3,0,2,2,1,0,0,7,0,0
7780000,2,58.3,1,косметический,no_info,альтернативная,монолитный,0,0,no_info,60.008806,30.483036,24.935,25.186,21.717,17.796,23.197,11.267,6.395,31.788,133447.68439108063,0,0,1,0,0,0,1,0,1,0,1,0,1,1
7690000,2,42.0,8,дизайнерский,no_info,свободная,панельный,1,1,no_info,59.941344,30.469929,24.639,23.636,14.108,20.584,16.228,4.053,12.459,26.754,183095.2380952381,1,1,1,1,2,3,1,1,1,2,1,38,0,0
7323762,2,63.8,1,no_info,предчистовая,no_info,монолитный,0,1,другое,59.696506,30.408538,38.474,34.794,13.982,42.0,15.254,24.868,39.491,23.873,114792.5078369906,0,0,0,0,0,0,0,0,0,0,1,0,0,1
7350000,1,39.1,9,no_info,no_info,свободная,монолитный,0,0,no_info,60.024023,30.235792,3.066,6.369,31.514,11.896,26.603,30.406,23.215,20.283,187979.53964194373,1,1,0,0,0,0,1,0,1,0,0,15,1,1
6100000,1,38.2,11,евро,no_info,свободная,монолитно-кирпичный,1,1,no_info,60.031229,30.138604,13.577,14.963,40.243,22.057,34.575,40.703,33.898,24.425,159685.86387434555,1,1,0,0,0,1,0,0,1,0,0,5,0,0
17000000,1,37.7,7,no_info,no_info,свободная,монолитный,0,0,no_info,59.959868,30.320971,8.79,6.966,19.898,11.99,15.684,18.959,16.875,15.246,450928.38196286466,4,0,0,0,0,0,0,0,1,0,0,0,1,1
5200276,0,24.2,13,no_info,чистовая,no_info,монолитный,0,0,ДДУ по ФЗ 214,59.939969,30.432721,20.792,19.58,13.335,17.889,13.788,6.685,12.302,22.977,214887.43801652893,2,0,0,0,0,0,0,0,0,0,0,-2,1,1
